Market Cap,Price,Volume,Date
10725062.436515387,0.1072506243651538,1.0512233074868058,2017-09-16
15404129.090981249,0.1540412909098124,14.678587222975718,2017-09-17
17349123.907271635,0.1734912390727163,6.001766937705406,2017-09-18
16833419.05826789,0.1683341905826789,3.878927406543514,2017-09-19
16662792.485643605,0.166627924856436,40.68761859734107,2017-09-20
9581702.729678905,0.095817027296789,20.56770180249738,2017-09-21
9421298.085257277,0.0942129808525727,135.88034679041334,2017-09-22
8828963.159130229,0.0882896315913022,0.7930862653511168,2017-09-23
8545453.920539133,0.0854545392053913,0.7690987855933964,2017-09-24
10250635.359918352,0.1025063535991835,9.105908242854628,2017-09-25
8965780.221748918,0.0896578022174891,18.19319371023182,2017-09-26
11505513.150836991,0.1150551315083699,59.5540102770356,2017-09-27
13955236.709152265,0.1395523670915226,305.1864817562295,2017-09-28
13217328.787209408,0.1321732878720941,2.619859439046117,2017-09-29
17191164.68013488,0.1719116468013488,204.6420957603784,2017-09-30
10116815.717399877,0.1011681571739987,123.5910784632866,2017-10-01
10787364.049011648,0.1078736404901164,14.443285103994638,2017-10-02
12443238.401115729,0.1244323840111572,42.0851710960265,2017-10-03
12880576.98534014,0.1288057698534014,7.21632856702682,2017-10-04
13059917.950937042,0.1305991795093704,3.0872511129145237,2017-10-05
13564347.38726733,0.1356434738726733,3.129625354824145,2017-10-06
12937532.581472054,0.1293753258147205,0.7178009459996548,2017-10-07
12993885.109848468,0.1299388510984846,0.7209275003038341,2017-10-08
14007954.967446368,0.1400795496744636,8.46500718682784,2017-10-10
21645282.37883093,0.2164528237883093,183.74126357748293,2017-10-11
23970960.381587382,0.2397096038158738,3266.9173942033,2017-10-12
22988972.432827994,0.2298897243282799,55.33504943030852,2017-10-13
11216452.03777135,0.1121645203777135,22.472336958482156,2017-10-14
10973221.368088957,0.1097322136808895,1.8654476325751224,2017-10-15
18386163.39844644,0.1838616339844643,1302.8934556494728,2017-10-16
10929078.576844648,0.1092907857684464,27.431970516994223,2017-10-17
10849999.581293626,0.1084999958129362,5.967510520540022,2017-10-18
3981769.7187992255,0.0398176971879922,57.41791124621551,2017-10-19
10014036.879397638,0.1011375853858811,0.8091006830870494,2017-10-20
9754528.3474995,0.0985166577201153,0.8866499194810381,2017-10-21
4357149.810097096,0.0440053912587825,16.388411602299,2017-10-22
5907118.82542005,0.0596594302363307,20.270269541538465,2017-10-23
8614152.729896264,0.0869993407992432,27.945035042350813,2017-10-25
4549361.144736407,0.0459466453707193,9.40198248237758,2017-10-26
4626323.18742883,0.0467239298223365,4.15928022923269,2017-10-27
4628094.609923487,0.0467418204488606,3.693454616152237,2017-10-28
4888738.900007344,0.0493742187974159,2.362117554112693,2017-10-29
128621027.051878,1.2990185938541825,2366136.909424559,2017-10-30
127642112.83486268,1.289131969568573,3364798.05303072,2017-10-31
124362891.8000922,1.2560132082341102,2105110.8644101056,2017-11-01
128415994.1310528,1.296947847082764,3545674.600832379,2017-11-02
145324589.61855084,1.4677175916390697,3208792.7785417736,2017-11-03
160991265.41234583,1.6259444665637772,4666853.022526658,2017-11-04
152178506.46334484,1.5369392859933428,2709302.5542377727,2017-11-05
158948749.47016165,1.6053159095699765,4669237.560842866,2017-11-06
179475107.11354542,1.8126235392322847,6148040.166284179,2017-11-07
201365016.4572739,2.03370247093617,13176873.458877586,2017-11-08
201460232.20321235,2.034664110158284,11367249.922029044,2017-11-09
178919972.00425422,1.8070169067430288,7770039.2443435555,2017-11-10
167488453.06212497,1.6915633452049703,5531033.523901884,2017-11-11
150991373.7338803,1.524949741792881,9288920.952425145,2017-11-12
165744855.11906666,1.6739537350179436,6612122.249519327,2017-11-13
156686364.647931,1.58246676881987,743952.339261882,2017-11-14
150742563.641147,1.52243686388942,4445617.40197932,2017-11-15
157996419.777573,1.59569777786549,5430129.00683232,2017-11-16
149961271.382931,1.51454613875746,4107948.52848623,2017-11-17
165591759.101192,1.67240752925033,4749664.50591603,2017-11-18
158550630.577414,1.60129507521577,4583141.58979331,2017-11-19
160472834.989452,1.62070853606007,3663548.04936528,2017-11-20
155622212.354081,1.57171927559821,3126575.47257824,2017-11-21
159396955.930594,1.60984260741505,4314236.94523044,2017-11-22
154461164.409639,1.55999317681984,6363226.93306694,2017-11-23
167434757.921205,1.69102104673283,9006421.31730949,2017-11-24
183230814.759749,1.85055461611236,9876816.02655487,2017-11-25
182503043.3614,1.84320442928677,5023436.49846158,2017-11-26
195050034.564593,1.96992379425731,5335874.68436242,2017-11-27
196928662.860015,1.98889715454395,4920545.99883393,2017-11-28
177042598.100423,1.78805621528696,14477217.1639228,2017-11-29
198350010.167143,2.00325216804839,10636605.0771692,2017-11-30
207284814.077617,2.09348995169993,7664189.33141666,2017-12-01
209800144.60457,2.11889373830539,3512076.32838115,2017-12-02
224059470.79661,2.26290697069717,7977301.98189213,2017-12-03
254913860.512531,2.57452340590756,11434113.281441,2017-12-04
263124719.35299,2.65744964704982,11769440.8704404,2017-12-05
232422532.202719,2.34737039411315,66.7141305131646,2017-12-06
297086617.267054,3.00045061574175,13305689.2586023,2017-12-07
292293248.433827,2.95203959474243,13897185.668649,2017-12-08
264491465.058563,2.67125320720871,7365209.8860576,2017-12-09
254681413.05008,2.57217578372836,5362096.64027372,2017-12-10
275491318.996752,2.78234713269591,7373520.41793812,2017-12-11
267426821.367015,2.700899078585,8214362.46996416,2017-12-12
279049549.830425,2.81828377633895,10658715.9066992,2017-12-13
316546825.081114,3.19699057790932,20455343.5796604,2017-12-14
