Market Cap,Price,Volume,Date
11597995.598585172,0.0054704582992207,43158348.3665803,2019-04-27
11038517.246430349,0.0052070307417457,9750768.053556936,2019-04-28
9288212.331070656,0.0043809965092268,8388214.176948644,2019-04-29
7477597.705333404,0.0035276874041553,8206899.938136298,2019-04-30
9332879.031491354,0.0043957732265878,23996173.170158293,2019-05-01
9280224.872988395,0.0043297848085408,9648802.459848048,2019-05-02
8891333.30897684,0.0041931120595079,5967466.560602684,2019-05-03
8955629.303512754,0.0042248523244836,4828733.418070598,2019-05-04
8350998.167417221,0.0039389381418024,2373076.008804771,2019-05-05
7910188.375280299,0.0037306798850975,2646003.170985355,2019-05-06
8147697.346860495,0.0037703573823272,4031985.293164879,2019-05-07
7512418.500704955,0.0034777878687029,2950832.608932231,2019-05-08
7116084.668899641,0.0032943096729554,2146002.827990107,2019-05-09
6796234.573244426,0.0031437629792297,3816858.1272905534,2019-05-10
8118766.838888749,0.0037633124228397,7771947.106328975,2019-05-11
10168666.005191118,0.0046701150924538,12644633.504685078,2019-05-12
11260147.515432397,0.0052180623757477,17282002.997800354,2019-05-13
18947310.4557418,0.0087714397755321,72534590.53999157,2019-05-14
16665799.202633057,0.0077176924442792,98251438.74888398,2019-05-15
20738305.297899127,0.0095762813634493,48234032.89778964,2019-05-16
23552487.138345573,0.0108894547390305,58419125.8522936,2019-05-17
31299208.07861396,0.0145211899124626,168823052.56284595,2019-05-18
26678408.34676415,0.0123446214902777,56237389.240338296,2019-05-19
41681357.74350744,0.0201729126988652,139262475.8404694,2019-05-20
66604903.12068474,0.0301907172128774,392858767.1612495,2019-05-21
62459642.03780136,0.0289136482772926,696647294.9053901,2019-05-22
46878984.71453992,0.021690489242548,288364882.8165133,2019-05-23
57629891.399392046,0.0266350060423083,416431723.6133023,2019-05-24
54996274.327640206,0.0255959601143272,151057259.37115043,2019-05-25
54013343.7537088,0.025027976659365,147967215.62507176,2019-05-26
52600982.4106417,0.0243974795086562,95178261.24083906,2019-05-27
48249663.5228608,0.0222894530007326,77853505.5753421,2019-05-28
50823040.71395896,0.0237616357541387,92800163.63645634,2019-05-29
47821537.80628897,0.0221185482561027,3988206.4294172474,2019-05-30
42600957.27020902,0.0197144965112422,49505071.82437271,2019-05-31
49723944.581620224,0.0230046244060014,57155721.043781154,2019-06-01
46228763.96926077,0.021409017137042,55810055.02566798,2019-06-02
43550002.73463604,0.0201580854245264,30773342.051590607,2019-06-03
42881156.96830865,0.0197996388849902,30733193.14056267,2019-06-04
45295451.67379857,0.0210178120464347,81555692.63318744,2019-06-05
49638985.77589161,0.0229661228306289,91943585.65713398,2019-06-06
50499381.98705505,0.0233806509311313,92096248.46087883,2019-06-07
52893272.32213757,0.0243903558341335,38703199.065020114,2019-06-08
56724814.5970296,0.0262586756907963,63273397.975974925,2019-06-09
55710274.59470173,0.0257592635199426,71404139.27415243,2019-06-10
59107812.90467676,0.0273770011705099,53479139.98113877,2019-06-11
51420080.14114724,0.02380433556861,44491000.902283095,2019-06-12
51535963.68612039,0.0237101333430861,45489808.02600256,2019-06-13
49975244.82925779,0.0232212275070925,57059260.53866467,2019-06-14
45637339.24130931,0.0211518227696083,45609709.02514853,2019-06-15
48117850.638910025,0.0225640487458338,41376359.44770077,2019-06-16
50240871.9315466,0.0231467051566915,39432554.45913444,2019-06-17
46777411.14854612,0.0217103555146591,33740043.09616906,2019-06-18
48709215.9153947,0.0223922266756101,31736411.32730231,2019-06-19
49859833.7031693,0.0230906979666487,54183244.37969357,2019-06-20
48851915.16555594,0.0225996828811206,35401143.90807466,2019-06-21
45743869.91399176,0.021190606751222,42987217.52297043,2019-06-22
47416092.08409725,0.021885627758767,62292809.76456504,2019-06-23
45620125.311411686,0.0211175759822051,38492722.83076165,2019-06-24
44753023.924934536,0.0207236726741104,19311226.208773367,2019-06-25
41373470.27392949,0.0191581401791158,27817296.088681422,2019-06-26
38734904.11679759,0.0178866407222816,64540534.11535855,2019-06-27
42164738.77447959,0.0194142554847571,71947730.25663866,2019-06-28
41898477.22571068,0.019288015593992,50630118.86531852,2019-06-29
51922816.68145897,0.0238765666924117,98174967.19698636,2019-06-30
48567202.961990826,0.0219568009877472,66977116.33967461,2019-07-01
48492349.383932285,0.0223354063102628,34688711.07213785,2019-07-02
46885776.08767703,0.0216075803760269,54515200.95042496,2019-07-03
41923684.088597976,0.0193453375375313,46923166.17563198,2019-07-04
39593808.55140861,0.0181065944776984,35399057.682218626,2019-07-05
39966864.42293798,0.0183957487765669,29338015.905113272,2019-07-06
38514627.58036139,0.0177121318496549,12546472.907332009,2019-07-07
38417837.92950353,0.0177035117096797,14691072.90233989,2019-07-08
36185159.20980829,0.016688509354315,20897547.41435909,2019-07-09
34907619.822241776,0.0161873635371264,27542262.30685972,2019-07-10
35261877.19657901,0.0162317982049071,43493929.46800774,2019-07-11
31441314.4911036,0.0144667145325853,27648674.35241354,2019-07-12
34237784.59946981,0.0157803783042935,24209839.450270507,2019-07-13
36146828.87760338,0.0166446595605624,36346886.02484361,2019-07-14
31117634.209929463,0.0143695548064697,23341262.550038844,2019-07-15
30148521.101809222,0.013875669079358,18281687.84957352,2019-07-16
26238465.205937084,0.0120956966759922,17457787.11768699,2019-07-17
28639861.29528767,0.013190027511248,19960944.14784561,2019-07-18
29745100.85463476,0.0136539300950443,17592496.861752912,2019-07-19
29152034.38874216,0.0134316604607851,7977281.577029932,2019-07-20
30493646.760010928,0.0140180820092049,10031424.458021088,2019-07-21
29191825.677322306,0.0134267825131901,6141617.928672328,2019-07-22
27766875.39466431,0.012756641184267,8132839.839537454,2019-07-23
25046830.793556567,0.011570307158907,7783672.729019597,2019-07-24
26256529.641490635,0.0119734241580206,11058273.883080274,2019-07-25
26551219.21101608,0.0121921104025621,7970652.140126811,2019-07-26
27660069.959090654,0.0127458614130319,7878830.44255529,2019-07-27
25924344.86299979,0.0119384007269288,7216487.351203982,2019-07-28
25550071.09315624,0.0117580721625097,5276318.936049708,2019-07-29
24812612.490064576,0.011436872586054,4293960.764639495,2019-07-30
25015174.163468745,0.0114907702939706,4385153.226614522,2019-07-31
24649793.515025653,0.0113577924866354,6685808.752269515,2019-08-01
23077095.52147368,0.0106279775900758,8023071.013067519,2019-08-02
24092974.523641985,0.0110896876979897,8551526.670006622,2019-08-03
23115758.483684737,0.0106354474417036,6016679.863284179,2019-08-04
22212546.04447325,0.0102266102901387,6237145.083379354,2019-08-05
25449415.36802988,0.0117039408724367,31353815.80667181,2019-08-06
33082693.42046307,0.0153144227730793,92919397.14975846,2019-08-07
36553330.07298043,0.0168790497499958,125670298.28229012,2019-08-08
31019101.42443758,0.0142773170397848,52943836.56496911,2019-08-09
26641234.709266223,0.0122644166321722,31448914.15180711,2019-08-10
32812953.39407727,0.0149270537106832,42290099.11481239,2019-08-11
35762186.3855206,0.0164695277411536,77616926.0451504,2019-08-12
37135487.98699559,0.0170974389792369,64533899.50353498,2019-08-13
35917458.803251386,0.0165065644045942,46095578.08825302,2019-08-14
32101938.197544865,0.0147604422264366,48449435.812742,2019-08-15
31730119.04465456,0.0146101497176315,25803411.53485523,2019-08-16
28958170.21938412,0.0133271667219787,23685917.332239877,2019-08-17
30667664.06614608,0.0140988421113785,19901169.183868516,2019-08-18
30313833.713301957,0.0138785096348993,16468807.128727045,2019-08-19
33642650.01009578,0.0154665320996622,31626618.914435294,2019-08-20
34246470.686036184,0.0157304512289318,21782359.904134385,2019-08-21
33538253.148506485,0.0154375524431388,27841103.494700555,2019-08-22
36706414.05630431,0.0168750360359531,37734209.91944856,2019-08-23
33651223.31612201,0.0154642571708775,33563242.92234369,2019-08-24
32344410.06923249,0.014822282334684,23163269.1402363,2019-08-25
29632317.8400942,0.0136291628311369,11800360.047821794,2019-08-26
30283095.00069205,0.0138838536982998,12309280.897329418,2019-08-27
30890295.543087877,0.0142012199272382,15133909.197657738,2019-08-28
28044862.533410348,0.0128930618269797,11416698.784123452,2019-08-29
25424797.924355265,0.0116794086928372,10100495.040464304,2019-08-30
26906600.66797756,0.0123697766561544,6981423.164423691,2019-08-31
25657991.281462643,0.0117957457467978,4839536.024028707,2019-09-01
26523188.303910296,0.0121935026867595,5161220.406764733,2019-09-02
29561673.31319711,0.0135960882148835,18837441.48552928,2019-09-03
31153185.218758844,0.0143105946583362,22618245.13802851,2019-09-04
30936056.823457424,0.0141116262326088,13412976.949812118,2019-09-05
32604127.367152005,0.0148254447139584,19457186.300775748,2019-09-06
29853630.10107608,0.0136170828707468,18938376.154654607,2019-09-07
30049379.887391888,0.0137318359262656,7799496.118873349,2019-09-08
30293091.01111858,0.0138378755810005,5143184.857125143,2019-09-09
30968735.173803143,0.0141216086968002,17225173.517855316,2019-09-10
29631104.188523397,0.0135166656610469,7692132.210924325,2019-09-11
28773150.35686196,0.013135360810497,6644987.0959424935,2019-09-12
28281247.36017025,0.0129009085389685,5709174.053548936,2019-09-13
28393615.60136675,0.0129300438507061,3946907.830373476,2019-09-14
28725026.204846047,0.0131033448110954,4701783.0222008005,2019-09-15
28108124.855697643,0.0128219361525035,4012935.5446518143,2019-09-16
28214274.18803569,0.0128864868541323,5361735.715493669,2019-09-17
29489405.005474266,0.0134514832117046,7755252.080981659,2019-09-18
31328841.67405112,0.01428246362198,22722323.42891106,2019-09-19
30052893.14686352,0.0137238404614294,14707793.416471224,2019-09-20
29744382.26282013,0.0136221846296589,5725783.773704215,2019-09-21
29411612.648096804,0.0133571911775272,4210087.229990507,2019-09-22
27052540.346957386,0.0123313078651901,6093875.100115391,2019-09-23
26967501.14087807,0.0122981177441455,5101774.333038216,2019-09-24
24911381.759474277,0.0111817010167413,19169612.20008541,2019-09-25
24145546.092095383,0.0110143473443915,11326502.699119965,2019-09-26
23307889.2200778,0.0106308017265161,8219967.881457983,2019-09-27
23755601.728857387,0.0108364684658062,6058236.729780078,2019-09-28
24431713.779271595,0.0111448869599909,7856282.061646556,2019-09-29
23897300.75635452,0.0108912693465123,5287887.648210626,2019-09-30
23703593.30660039,0.0108206437957613,10700082.540459355,2019-10-01
23741134.927408595,0.0108328653722149,4240288.959646114,2019-10-02
23741134.927408595,0.0108328653722149,4240288.959646114,2019-10-03
23382568.62470535,0.0106663039077376,4061665.6457083095,2019-10-04
23347983.93133891,0.0106496425648518,4020653.305088733,2019-10-05
23366450.364832003,0.01064058063695,3116316.039487529,2019-10-06
22596881.869579107,0.0103079012941938,4158746.8619419793,2019-10-07
23934200.518902466,0.0109003399079942,11141299.152523974,2019-10-08
27082557.66361709,0.0123544141440897,22159359.004560392,2019-10-09
31445833.531710453,0.0143435564239739,36181752.18859697,2019-10-10
35424535.96603727,0.0161594251028995,42231935.22733198,2019-10-11
35217767.4317386,0.016065104583166,62056731.96612217,2019-10-12
34301394.752817206,0.0155896075842151,38709011.771489926,2019-10-13
32835902.628268503,0.0149764763818474,18484124.87512351,2019-10-14
33432953.564620264,0.0152518360052002,42230307.71251894,2019-10-15
31483215.80462497,0.0143600977433234,18358048.64541836,2019-10-16
30555707.72736601,0.0139199620936876,16615953.195219364,2019-10-17
31324266.810866565,0.0142810019449775,13827015.526542164,2019-10-18
29276470.57002541,0.0133547129403269,12557091.917609824,2019-10-19
30337521.82875495,0.013841962391857,8495868.700097747,2019-10-20
30337924.70710583,0.0138390922763786,8464263.659235574,2019-10-21
33037554.733709607,0.0149006814903204,22256103.89277729,2019-10-22
32156352.162030675,0.0145030589259837,17566004.731155492,2019-10-23
29725524.294027667,0.0132623879300482,20640370.092331197,2019-10-24
30780732.15178917,0.0135131542475347,17645374.643893924,2019-10-25
32650750.170596555,0.0143434495731401,29824927.26642518,2019-10-26
31756643.735934265,0.0135316090904561,38501508.45380221,2019-10-27
32922438.048618518,0.0140282804071721,27688981.243613377,2019-10-28
33194870.29037544,0.0140859665712789,25437898.659280915,2019-10-29
33513836.403228182,0.014057760186646,20093785.01496869,2019-10-30
31980389.64421996,0.0134144368828675,13468610.880548574,2019-10-31
32342119.84315816,0.0135701223107884,13286325.092777632,2019-11-01
32796812.31339976,0.0137598572929025,10100248.73118002,2019-11-02
32319801.18137385,0.013555917002926,8515527.373394335,2019-11-03
32214064.32265862,0.013511341153248,7725588.815727885,2019-11-04
34109087.53677613,0.0142970831479509,20231829.986774568,2019-11-05
35055986.470498376,0.0147033105764737,23372839.238771744,2019-11-06
