Market Cap,Price,Volume,Date
47995350984.2677,155.08489768608015,2372386156.3035607,2021-12-14
49398872819.44277,161.06018556882867,2156901491.5380054,2021-12-15
54610048507.25148,178.2619337658359,3458991299.158227,2021-12-16
54368442494.9893,176.80558474391322,2454635867.467667,2021-12-17
54006293233.10288,175.79063841353098,2355530732.258781,2021-12-18
56393839315.24814,182.9705669569821,1440763837.45392,2021-12-19
55790507174.07124,179.93839883526266,1441246078.159062,2021-12-20
54061922630.24034,174.371158716512,1718453799.121433,2021-12-21
55570757138.288246,180.12601919521373,1539489579.1213927,2021-12-22
55058052155.04185,178.57398150636655,1635078520.6954496,2021-12-23
58709806077.20599,190.51215929842783,1932687191.409968,2021-12-24
58852086815.42499,190.4403687480951,1997417409.1442204,2021-12-25
59797071721.91303,193.28925387578548,1257985154.9824424,2021-12-26
61198787207.68108,198.19740128641655,1747475952.8078868,2021-12-27
60810349839.61329,196.0391793952204,1631730024.3256166,2021-12-28
55425780679.24532,178.29769922040717,2541804765.839321,2021-12-29
52726687301.09404,171.27231463236643,1935535240.3698783,2021-12-30
53261290659.86848,172.50889438021562,1379259729.504835,2021-12-31
52907181305.50652,170.1966082645718,1380634374.4823568,2022-01-01
55089640249.09666,178.88879762342907,960138212.5274444,2022-01-02
54604426218.58956,176.32149989503122,846802662.8993707,2022-01-03
52886550470.82176,170.57083886740085,1152100392.329671,2022-01-04
52272480718.14088,168.0394848714517,1361207424.18007,2022-01-05
48184360964.1156,155.71670664692078,1980976064.6564603,2022-01-06
46854691785.8186,150.72362465772903,1922945442.80852,2022-01-07
42610750948.59599,136.6133086353095,2713161094.7767363,2022-01-08
44680435604.26222,142.37691491093904,2495097582.9222703,2022-01-09
43844556062.79441,140.97069019412947,1383486991.2692618,2022-01-10
42320546842.20343,135.98215275078118,1797340432.328524,2022-01-11
43823867475.83328,140.2633692449685,1407732234.4002852,2022-01-12
47534063482.95965,151.92225384391546,2048461630.20183,2022-01-13
45924153329.20764,146.8991625118502,1972169296.5769012,2022-01-14
45849250868.07178,146.31283636345285,1627092109.7732365,2022-01-15
46337099650.87288,147.70351003866236,1003160676.7114656,2022-01-16
46450557289.26664,147.94236767494985,1064526626.2870606,2022-01-17
44032309573.9257,140.0483723855377,1342939698.2979736,2022-01-18
44575080930.62185,141.634144063378,1327500384.0270393,2022-01-19
42848572759.496826,135.5936205367398,1310094891.479366,2022-01-20
40727678847.05303,128.56948450207307,1371674053.2248025,2022-01-21
35070043876.86985,111.77542786353776,3853056390.3720913,2022-01-22
29665575896.047955,94.51541078123918,4095835932.6350746,2022-01-23
31290905178.53205,99.69162217459098,2611991894.5389414,2022-01-24
28909954628.237045,91.91541131637004,4359827042.558423,2022-01-25
30084800205.77909,95.0928286433394,2614011846.196276,2022-01-26
29243771848.310368,92.24801292004712,2847753595.488201,2022-01-27
28179557560.867977,89.60158614183815,2421524797.0656857,2022-01-28
28786945733.92828,91.42580267920562,1882874786.6910908,2022-01-29
30216232718.87756,96.17869128153504,1478946858.3603432,2022-01-30
29427732656.729218,93.4025290287978,941974724.429482,2022-01-31
31354693276.844906,99.88984753621436,1715569710.5342922,2022-02-01
34784263657.23243,110.12732330616494,3097993266.654722,2022-02-02
31975373921.89307,101.8292164519742,2979450302.616579,2022-02-03
31833368519.650078,100.87832034717168,2283972523.6144795,2022-02-04
35127905584.898895,112.48079518340074,2844877285.5932903,2022-02-05
36087037718.41055,114.33315412383556,2104149883.5664315,2022-02-06
36521264719.12104,115.2834781341491,1281443040.602296,2022-02-07
37305112916.66873,117.67187313780884,2230152722.515911,2022-02-08
36125330680.249535,113.69745549618692,2354525277.711969,2022-02-09
36294064610.28194,114.34358742446604,1634212051.3702943,2022-02-10
33826915836.727123,106.41810262178213,1963719800.2645693,2022-02-11
30597070580.09104,96.46324431285534,1738208639.1534996,2022-02-12
30347618773.26294,95.70003429059712,1336515340.137724,2022-02-13
29672733160.79642,93.36714504855236,910049119.235368,2022-02-14
30784741416.87896,96.44224243421378,1364915626.6617208,2022-02-15
33579862333.60316,104.85069673096622,1630619496.195204,2022-02-16
32707737720.154152,101.95613259465958,1473078677.1202588,2022-02-17
29918359231.26159,93.4045235835354,1463178693.3773675,2022-02-18
28828455911.8284,90.10899056118772,1290677352.6433926,2022-02-19
29209068299.47004,91.60559213966148,836883423.9090565,2022-02-20
29261491189.686405,90.80316641928688,1428521632.3321967,2022-02-21
26727888651.40893,83.14387140523519,2247461489.9635487,2022-02-22
27744256745.68661,86.57269722666857,1577877587.2386572,2022-02-23
27294663661.65063,85.26903088293193,1761310724.440881,2022-02-24
28497445445.30952,89.05132726925892,4075674086.526734,2022-02-25
29919961866.348053,92.73641556746163,2417499269.8008738,2022-02-26
28767659413.52589,90.10798522206623,1316252928.33416,2022-02-27
27360038516.30834,85.56819666616444,1559328417.4245243,2022-02-28
31846087892.82589,99.57917400308274,2674553479.2180743,2022-03-01
31569373571.96833,98.75845247572444,2476563020.453062,2022-03-02
32379126078.839725,100.78986523175992,2951039198.751416,2022-03-03
30435232238.200184,95.55882629437178,1795535826.5550518,2022-03-04
28319787092.93302,88.2451628518882,2029343357.151517,2022-03-05
28439402258.60641,89.78895188514215,1164108659.273321,2022-03-06
26835926882.34714,84.63923583859497,1139246888.3328228,2022-03-07
26300808792.830048,82.06724918865827,1884457926.903441,2022-03-08
26425486647.51813,82.25360674455618,1704061421.1695168,2022-03-09
28509710713.35766,88.185052838507,2082131364.035624,2022-03-10
26526485356.29456,83.02500801904657,1706781764.3768432,2022-03-11
